tweet_id,favorites,retweets
668466899341221888,930,552
668480044826800133,484,159
668484198282485761,447,250
668496999348633600,431,144
668507509523615744,342,114
668528771708952576,490,240
668537837512433665,259,78
668542336805281792,486,228
668544745690562560,546,247
668567822092664832,259,62
668587383441514497,1741,1161
668614819948453888,642,338
668620235289837568,210,45
668623201287675904,1522,842
668625577880875008,414,140
668627278264475648,335,122
668631377374486528,752,345
668633411083464705,2979,1758
668636665813057536,1097,518
668641109086707712,1130,569
668643542311546881,929,570
668645506898350081,947,582
668655139528511488,554,232
668779399630725120,739,402
668815180734689280,599,289
668826086256599040,459,150
668852170888998912,470,178
668872652652679168,553,318
668892474547511297,415,163
668902994700836864,333,106
668932921458302977,281,62
668955713004314625,297,75
668960084974809088,745,260
668967877119254528,158,25
668975677807423489,1374,628
668979806671884288,833,376
668981893510119424,568,333
668986018524233728,575,181
668988183816871936,951,512
668989615043424256,714,352
668992363537309700,789,377
668994913074286592,462,251
669000397445533696,21914,6853
669006782128353280,605,267
669015743032369152,777,396
669037058363662336,684,332
669203728096960512,1065,514
669214165781868544,466,180
669216679721873412,951,416
669324657376567296,520,221
669327207240699904,605,125
669328503091937280,1064,446
669351434509529089,468,204
669353438988365824,680,278
669354382627049472,2867,1368
669359674819481600,384,133
669363888236994561,660,248
669367896104181761,482,169
669371483794317312,518,193
669375718304980992,1412,778
669393256313184256,381,82
669564461267722241,405,131
669567591774625800,245,61
669571471778410496,1670,1073
669573570759163904,460,154
669583744538451968,1570,1005
669597912108789760,542,162
669603084620980224,999,395
669625907762618368,3726,1940
669661792646373376,845,474
669680153564442624,702,309
669682095984410625,370,143
669683899023405056,409,117
669684865554620416,548,96
669749430875258880,286,71
669753178989142016,847,428
669923323644657664,246,62
669926384437997569,394,112
669942763794931712,532,181
669970042633789440,315,65
669972011175813120,464,174
669993076832759809,338,91
670003130994700288,345,100
670037189829525505,617,303
670040295598354432,794,117
670046952931721218,678,191
670055038660800512,707,356
670061506722140161,807,371
670069087419133954,668,271
670073503555706880,1652,861
670079681849372674,2361,1356
670086499208155136,730,272
670093938074779648,1097,362
670290420111441920,742,311
670303360680108032,445,148
670319130621435904,4058,1335
670338931251150849,448,120
